SourceID,TargetID,Relationship,mention_type,confidence
"10.2147/DDDT.S315726
10.22074/ijfs.2016.4763
10.1016/j.fertnstert.2004.10.058
10.1016/j.fertnstert.2012.06.029
10.1093/jnci/djj357
10.1136/bmj.b2700
10.1136/bmj.j4008
10.1186/s41073-019-0064-8
10.1111/j.1471-0528.2008.01740.x
10.1186/1477-7827-9-90
10.1186/1477-7827-9-89
10.1080/13543784.2020.1842356
10.1016/S0015-0282(99)00393-3
10.1677/erc.0.0060293
10.1093/humupd/6.5.413
10.1097/00001703-200306000-00006
10.1111/j.0001-6349.2004.00562.x
10.1016/j.jsbmb.2005.04.012
10.1097/01.ogx.0000189153.87365.dc
10.1016/j.fertnstert.2005.09.064
10.2165/00003495-200969080-00001
10.1517/13543784.2011.581226
10.1186/1477-7827-9-87
10.1016/j.fertnstert.2012.08.053
10.1111/nyas.12411
10.2147/IJWH.S34684
10.1016/j.rbmo.2016.03.001
10.5114/pm.2016.58773
10.1007/s40265-018-0928-0
10.1016/S0015-0282(98)00022-3
10.1016/j.fertnstert.2003.11.027
10.1016/S1472-6483(10)61140-6
10.1016/j.fertnstert.2003.09.029
10.1016/j.fertnstert.2005.04.059
10.1016/j.fertnstert.2005.02.018
10.1093/humrep/deh035
10.1016/S0015-0282(97)81391-X
10.1016/j.fertnstert.2008.03.040
10.1016/j.fertnstert.2009.05.071
10.1097/01.AOG.0000265807.19397.6d
10.1001/jama.283.15.2008
10.1007/s00404-010-1599-6
10.1186/1477-7827-9-88
10.1111/j.1479-828X.2007.00722.x
10.1016/j.fertnstert.2006.12.027
10.1093/humrep/dep302
10.1016/j.ejogrb.2009.02.001
10.1016/j.ejogrb.2010.02.023
10.1155/2015/878517
10.1007/s00404-012-2581-2
10.1016/S0140-6736(15)61074-1
10.1093/humrep/dew145
10.1002/jcph.846
10.1080/10717544.2019.1622609
10.1097/AOG.0000000000000964
10.1093/humrep/det457
10.1016/j.ejogrb.2013.11.030",SULT1E1,GENE_MENTIONED_IN_PAPER,downregulated,5.16e-22
"10.2147/DDDT.S315726
10.22074/ijfs.2016.4763
10.1016/j.fertnstert.2004.10.058
10.1016/j.fertnstert.2012.06.029
10.1093/jnci/djj357
10.1136/bmj.b2700
10.1136/bmj.j4008
10.1186/s41073-019-0064-8
10.1111/j.1471-0528.2008.01740.x
10.1186/1477-7827-9-90
10.1186/1477-7827-9-89
10.1080/13543784.2020.1842356
10.1016/S0015-0282(99)00393-3
10.1677/erc.0.0060293
10.1093/humupd/6.5.413
10.1097/00001703-200306000-00006
10.1111/j.0001-6349.2004.00562.x
10.1016/j.jsbmb.2005.04.012
10.1097/01.ogx.0000189153.87365.dc
10.1016/j.fertnstert.2005.09.064
10.2165/00003495-200969080-00001
10.1517/13543784.2011.581226
10.1186/1477-7827-9-87
10.1016/j.fertnstert.2012.08.053
10.1111/nyas.12411
10.2147/IJWH.S34684
10.1016/j.rbmo.2016.03.001
10.5114/pm.2016.58773
10.1007/s40265-018-0928-0
10.1016/S0015-0282(98)00022-3
10.1016/j.fertnstert.2003.11.027
10.1016/S1472-6483(10)61140-6
10.1016/j.fertnstert.2003.09.029
10.1016/j.fertnstert.2005.04.059
10.1016/j.fertnstert.2005.02.018
10.1093/humrep/deh035
10.1016/S0015-0282(97)81391-X
10.1016/j.fertnstert.2008.03.040
10.1016/j.fertnstert.2009.05.071
10.1097/01.AOG.0000265807.19397.6d
10.1001/jama.283.15.2008
10.1007/s00404-010-1599-6
10.1186/1477-7827-9-88
10.1111/j.1479-828X.2007.00722.x
10.1016/j.fertnstert.2006.12.027
10.1093/humrep/dep302
10.1016/j.ejogrb.2009.02.001
10.1016/j.ejogrb.2010.02.023
10.1155/2015/878517
10.1007/s00404-012-2581-2
10.1016/S0140-6736(15)61074-1
10.1093/humrep/dew145
10.1002/jcph.846
10.1080/10717544.2019.1622609
10.1097/AOG.0000000000000964
10.1093/humrep/det457
10.1016/j.ejogrb.2013.11.030",SCN7A,GENE_MENTIONED_IN_PAPER,downregulated,2.44e-11
"10.2147/DDDT.S315726
10.22074/ijfs.2016.4763
10.1016/j.fertnstert.2004.10.058
10.1016/j.fertnstert.2012.06.029
10.1093/jnci/djj357
10.1136/bmj.b2700
10.1136/bmj.j4008
10.1186/s41073-019-0064-8
10.1111/j.1471-0528.2008.01740.x
10.1186/1477-7827-9-90
10.1186/1477-7827-9-89
10.1080/13543784.2020.1842356
10.1016/S0015-0282(99)00393-3
10.1677/erc.0.0060293
10.1093/humupd/6.5.413
10.1097/00001703-200306000-00006
10.1111/j.0001-6349.2004.00562.x
10.1016/j.jsbmb.2005.04.012
10.1097/01.ogx.0000189153.87365.dc
10.1016/j.fertnstert.2005.09.064
10.2165/00003495-200969080-00001
10.1517/13543784.2011.581226
10.1186/1477-7827-9-87
10.1016/j.fertnstert.2012.08.053
10.1111/nyas.12411
10.2147/IJWH.S34684
10.1016/j.rbmo.2016.03.001
10.5114/pm.2016.58773
10.1007/s40265-018-0928-0
10.1016/S0015-0282(98)00022-3
10.1016/j.fertnstert.2003.11.027
10.1016/S1472-6483(10)61140-6
10.1016/j.fertnstert.2003.09.029
10.1016/j.fertnstert.2005.04.059
10.1016/j.fertnstert.2005.02.018
10.1093/humrep/deh035
10.1016/S0015-0282(97)81391-X
10.1016/j.fertnstert.2008.03.040
10.1016/j.fertnstert.2009.05.071
10.1097/01.AOG.0000265807.19397.6d
10.1001/jama.283.15.2008
10.1007/s00404-010-1599-6
10.1186/1477-7827-9-88
10.1111/j.1479-828X.2007.00722.x
10.1016/j.fertnstert.2006.12.027
10.1093/humrep/dep302
10.1016/j.ejogrb.2009.02.001
10.1016/j.ejogrb.2010.02.023
10.1155/2015/878517
10.1007/s00404-012-2581-2
10.1016/S0140-6736(15)61074-1
10.1093/humrep/dew145
10.1002/jcph.846
10.1080/10717544.2019.1622609
10.1097/AOG.0000000000000964
10.1093/humrep/det457
10.1016/j.ejogrb.2013.11.030",ADH1B,GENE_MENTIONED_IN_PAPER,downregulated,5.03e-10
"10.2147/DDDT.S315726
10.22074/ijfs.2016.4763
10.1016/j.fertnstert.2004.10.058
10.1016/j.fertnstert.2012.06.029
10.1093/jnci/djj357
10.1136/bmj.b2700
10.1136/bmj.j4008
10.1186/s41073-019-0064-8
10.1111/j.1471-0528.2008.01740.x
10.1186/1477-7827-9-90
10.1186/1477-7827-9-89
10.1080/13543784.2020.1842356
10.1016/S0015-0282(99)00393-3
10.1677/erc.0.0060293
10.1093/humupd/6.5.413
10.1097/00001703-200306000-00006
10.1111/j.0001-6349.2004.00562.x
10.1016/j.jsbmb.2005.04.012
10.1097/01.ogx.0000189153.87365.dc
10.1016/j.fertnstert.2005.09.064
10.2165/00003495-200969080-00001
10.1517/13543784.2011.581226
10.1186/1477-7827-9-87
10.1016/j.fertnstert.2012.08.053
10.1111/nyas.12411
10.2147/IJWH.S34684
10.1016/j.rbmo.2016.03.001
10.5114/pm.2016.58773
10.1007/s40265-018-0928-0
10.1016/S0015-0282(98)00022-3
10.1016/j.fertnstert.2003.11.027
10.1016/S1472-6483(10)61140-6
10.1016/j.fertnstert.2003.09.029
10.1016/j.fertnstert.2005.04.059
10.1016/j.fertnstert.2005.02.018
10.1093/humrep/deh035
10.1016/S0015-0282(97)81391-X
10.1016/j.fertnstert.2008.03.040
10.1016/j.fertnstert.2009.05.071
10.1097/01.AOG.0000265807.19397.6d
10.1001/jama.283.15.2008
10.1007/s00404-010-1599-6
10.1186/1477-7827-9-88
10.1111/j.1479-828X.2007.00722.x
10.1016/j.fertnstert.2006.12.027
10.1093/humrep/dep302
10.1016/j.ejogrb.2009.02.001
10.1016/j.ejogrb.2010.02.023
10.1155/2015/878517
10.1007/s00404-012-2581-2
10.1016/S0140-6736(15)61074-1
10.1093/humrep/dew145
10.1002/jcph.846
10.1080/10717544.2019.1622609
10.1097/AOG.0000000000000964
10.1093/humrep/det457
10.1016/j.ejogrb.2013.11.030",CLDN11,GENE_MENTIONED_IN_PAPER,downregulated,1.05e-09
"10.2147/DDDT.S315726
10.22074/ijfs.2016.4763
10.1016/j.fertnstert.2004.10.058
10.1016/j.fertnstert.2012.06.029
10.1093/jnci/djj357
10.1136/bmj.b2700
10.1136/bmj.j4008
10.1186/s41073-019-0064-8
10.1111/j.1471-0528.2008.01740.x
10.1186/1477-7827-9-90
10.1186/1477-7827-9-89
10.1080/13543784.2020.1842356
10.1016/S0015-0282(99)00393-3
10.1677/erc.0.0060293
10.1093/humupd/6.5.413
10.1097/00001703-200306000-00006
10.1111/j.0001-6349.2004.00562.x
10.1016/j.jsbmb.2005.04.012
10.1097/01.ogx.0000189153.87365.dc
10.1016/j.fertnstert.2005.09.064
10.2165/00003495-200969080-00001
10.1517/13543784.2011.581226
10.1186/1477-7827-9-87
10.1016/j.fertnstert.2012.08.053
10.1111/nyas.12411
10.2147/IJWH.S34684
10.1016/j.rbmo.2016.03.001
10.5114/pm.2016.58773
10.1007/s40265-018-0928-0
10.1016/S0015-0282(98)00022-3
10.1016/j.fertnstert.2003.11.027
10.1016/S1472-6483(10)61140-6
10.1016/j.fertnstert.2003.09.029
10.1016/j.fertnstert.2005.04.059
10.1016/j.fertnstert.2005.02.018
10.1093/humrep/deh035
10.1016/S0015-0282(97)81391-X
10.1016/j.fertnstert.2008.03.040
10.1016/j.fertnstert.2009.05.071
10.1097/01.AOG.0000265807.19397.6d
10.1001/jama.283.15.2008
10.1007/s00404-010-1599-6
10.1186/1477-7827-9-88
10.1111/j.1479-828X.2007.00722.x
10.1016/j.fertnstert.2006.12.027
10.1093/humrep/dep302
10.1016/j.ejogrb.2009.02.001
10.1016/j.ejogrb.2010.02.023
10.1155/2015/878517
10.1007/s00404-012-2581-2
10.1016/S0140-6736(15)61074-1
10.1093/humrep/dew145
10.1002/jcph.846
10.1080/10717544.2019.1622609
10.1097/AOG.0000000000000964
10.1093/humrep/det457
10.1016/j.ejogrb.2013.11.030",FIBIN,GENE_MENTIONED_IN_PAPER,downregulated,2.12e-09
"10.2147/DDDT.S315726
10.22074/ijfs.2016.4763
10.1016/j.fertnstert.2004.10.058
10.1016/j.fertnstert.2012.06.029
10.1093/jnci/djj357
10.1136/bmj.b2700
10.1136/bmj.j4008
10.1186/s41073-019-0064-8
10.1111/j.1471-0528.2008.01740.x
10.1186/1477-7827-9-90
10.1186/1477-7827-9-89
10.1080/13543784.2020.1842356
10.1016/S0015-0282(99)00393-3
10.1677/erc.0.0060293
10.1093/humupd/6.5.413
10.1097/00001703-200306000-00006
10.1111/j.0001-6349.2004.00562.x
10.1016/j.jsbmb.2005.04.012
10.1097/01.ogx.0000189153.87365.dc
10.1016/j.fertnstert.2005.09.064
10.2165/00003495-200969080-00001
10.1517/13543784.2011.581226
10.1186/1477-7827-9-87
10.1016/j.fertnstert.2012.08.053
10.1111/nyas.12411
10.2147/IJWH.S34684
10.1016/j.rbmo.2016.03.001
10.5114/pm.2016.58773
10.1007/s40265-018-0928-0
10.1016/S0015-0282(98)00022-3
10.1016/j.fertnstert.2003.11.027
10.1016/S1472-6483(10)61140-6
10.1016/j.fertnstert.2003.09.029
10.1016/j.fertnstert.2005.04.059
10.1016/j.fertnstert.2005.02.018
10.1093/humrep/deh035
10.1016/S0015-0282(97)81391-X
10.1016/j.fertnstert.2008.03.040
10.1016/j.fertnstert.2009.05.071
10.1097/01.AOG.0000265807.19397.6d
10.1001/jama.283.15.2008
10.1007/s00404-010-1599-6
10.1186/1477-7827-9-88
10.1111/j.1479-828X.2007.00722.x
10.1016/j.fertnstert.2006.12.027
10.1093/humrep/dep302
10.1016/j.ejogrb.2009.02.001
10.1016/j.ejogrb.2010.02.023
10.1155/2015/878517
10.1007/s00404-012-2581-2
10.1016/S0140-6736(15)61074-1
10.1093/humrep/dew145
10.1002/jcph.846
10.1080/10717544.2019.1622609
10.1097/AOG.0000000000000964
10.1093/humrep/det457
10.1016/j.ejogrb.2013.11.030",KCNT2,GENE_MENTIONED_IN_PAPER,downregulated,9.12e-09
"10.2147/DDDT.S315726
10.22074/ijfs.2016.4763
10.1016/j.fertnstert.2004.10.058
10.1016/j.fertnstert.2012.06.029
10.1093/jnci/djj357
10.1136/bmj.b2700
10.1136/bmj.j4008
10.1186/s41073-019-0064-8
10.1111/j.1471-0528.2008.01740.x
10.1186/1477-7827-9-90
10.1186/1477-7827-9-89
10.1080/13543784.2020.1842356
10.1016/S0015-0282(99)00393-3
10.1677/erc.0.0060293
10.1093/humupd/6.5.413
10.1097/00001703-200306000-00006
10.1111/j.0001-6349.2004.00562.x
10.1016/j.jsbmb.2005.04.012
10.1097/01.ogx.0000189153.87365.dc
10.1016/j.fertnstert.2005.09.064
10.2165/00003495-200969080-00001
10.1517/13543784.2011.581226
10.1186/1477-7827-9-87
10.1016/j.fertnstert.2012.08.053
10.1111/nyas.12411
10.2147/IJWH.S34684
10.1016/j.rbmo.2016.03.001
10.5114/pm.2016.58773
10.1007/s40265-018-0928-0
10.1016/S0015-0282(98)00022-3
10.1016/j.fertnstert.2003.11.027
10.1016/S1472-6483(10)61140-6
10.1016/j.fertnstert.2003.09.029
10.1016/j.fertnstert.2005.04.059
10.1016/j.fertnstert.2005.02.018
10.1093/humrep/deh035
10.1016/S0015-0282(97)81391-X
10.1016/j.fertnstert.2008.03.040
10.1016/j.fertnstert.2009.05.071
10.1097/01.AOG.0000265807.19397.6d
10.1001/jama.283.15.2008
10.1007/s00404-010-1599-6
10.1186/1477-7827-9-88
10.1111/j.1479-828X.2007.00722.x
10.1016/j.fertnstert.2006.12.027
10.1093/humrep/dep302
10.1016/j.ejogrb.2009.02.001
10.1016/j.ejogrb.2010.02.023
10.1155/2015/878517
10.1007/s00404-012-2581-2
10.1016/S0140-6736(15)61074-1
10.1093/humrep/dew145
10.1002/jcph.846
10.1080/10717544.2019.1622609
10.1097/AOG.0000000000000964
10.1093/humrep/det457
10.1016/j.ejogrb.2013.11.030",INMT,GENE_MENTIONED_IN_PAPER,downregulated,3.8e-08
"10.2147/DDDT.S315726
10.22074/ijfs.2016.4763
10.1016/j.fertnstert.2004.10.058
10.1016/j.fertnstert.2012.06.029
10.1093/jnci/djj357
10.1136/bmj.b2700
10.1136/bmj.j4008
10.1186/s41073-019-0064-8
10.1111/j.1471-0528.2008.01740.x
10.1186/1477-7827-9-90
10.1186/1477-7827-9-89
10.1080/13543784.2020.1842356
10.1016/S0015-0282(99)00393-3
10.1677/erc.0.0060293
10.1093/humupd/6.5.413
10.1097/00001703-200306000-00006
10.1111/j.0001-6349.2004.00562.x
10.1016/j.jsbmb.2005.04.012
10.1097/01.ogx.0000189153.87365.dc
10.1016/j.fertnstert.2005.09.064
10.2165/00003495-200969080-00001
10.1517/13543784.2011.581226
10.1186/1477-7827-9-87
10.1016/j.fertnstert.2012.08.053
10.1111/nyas.12411
10.2147/IJWH.S34684
10.1016/j.rbmo.2016.03.001
10.5114/pm.2016.58773
10.1007/s40265-018-0928-0
10.1016/S0015-0282(98)00022-3
10.1016/j.fertnstert.2003.11.027
10.1016/S1472-6483(10)61140-6
10.1016/j.fertnstert.2003.09.029
10.1016/j.fertnstert.2005.04.059
10.1016/j.fertnstert.2005.02.018
10.1093/humrep/deh035
10.1016/S0015-0282(97)81391-X
10.1016/j.fertnstert.2008.03.040
10.1016/j.fertnstert.2009.05.071
10.1097/01.AOG.0000265807.19397.6d
10.1001/jama.283.15.2008
10.1007/s00404-010-1599-6
10.1186/1477-7827-9-88
10.1111/j.1479-828X.2007.00722.x
10.1016/j.fertnstert.2006.12.027
10.1093/humrep/dep302
10.1016/j.ejogrb.2009.02.001
10.1016/j.ejogrb.2010.02.023
10.1155/2015/878517
10.1007/s00404-012-2581-2
10.1016/S0140-6736(15)61074-1
10.1093/humrep/dew145
10.1002/jcph.846
10.1080/10717544.2019.1622609
10.1097/AOG.0000000000000964
10.1093/humrep/det457
10.1016/j.ejogrb.2013.11.030",AOX1,GENE_MENTIONED_IN_PAPER,downregulated,9.47e-08
"10.2147/DDDT.S315726
10.22074/ijfs.2016.4763
10.1016/j.fertnstert.2004.10.058
10.1016/j.fertnstert.2012.06.029
10.1093/jnci/djj357
10.1136/bmj.b2700
10.1136/bmj.j4008
10.1186/s41073-019-0064-8
10.1111/j.1471-0528.2008.01740.x
10.1186/1477-7827-9-90
10.1186/1477-7827-9-89
10.1080/13543784.2020.1842356
10.1016/S0015-0282(99)00393-3
10.1677/erc.0.0060293
10.1093/humupd/6.5.413
10.1097/00001703-200306000-00006
10.1111/j.0001-6349.2004.00562.x
10.1016/j.jsbmb.2005.04.012
10.1097/01.ogx.0000189153.87365.dc
10.1016/j.fertnstert.2005.09.064
10.2165/00003495-200969080-00001
10.1517/13543784.2011.581226
10.1186/1477-7827-9-87
10.1016/j.fertnstert.2012.08.053
10.1111/nyas.12411
10.2147/IJWH.S34684
10.1016/j.rbmo.2016.03.001
10.5114/pm.2016.58773
10.1007/s40265-018-0928-0
10.1016/S0015-0282(98)00022-3
10.1016/j.fertnstert.2003.11.027
10.1016/S1472-6483(10)61140-6
10.1016/j.fertnstert.2003.09.029
10.1016/j.fertnstert.2005.04.059
10.1016/j.fertnstert.2005.02.018
10.1093/humrep/deh035
10.1016/S0015-0282(97)81391-X
10.1016/j.fertnstert.2008.03.040
10.1016/j.fertnstert.2009.05.071
10.1097/01.AOG.0000265807.19397.6d
10.1001/jama.283.15.2008
10.1007/s00404-010-1599-6
10.1186/1477-7827-9-88
10.1111/j.1479-828X.2007.00722.x
10.1016/j.fertnstert.2006.12.027
10.1093/humrep/dep302
10.1016/j.ejogrb.2009.02.001
10.1016/j.ejogrb.2010.02.023
10.1155/2015/878517
10.1007/s00404-012-2581-2
10.1016/S0140-6736(15)61074-1
10.1093/humrep/dew145
10.1002/jcph.846
10.1080/10717544.2019.1622609
10.1097/AOG.0000000000000964
10.1093/humrep/det457
10.1016/j.ejogrb.2013.11.030",MYOCD,GENE_MENTIONED_IN_PAPER,downregulated,1.26e-07
"10.2147/DDDT.S315726
10.22074/ijfs.2016.4763
10.1016/j.fertnstert.2004.10.058
10.1016/j.fertnstert.2012.06.029
10.1093/jnci/djj357
10.1136/bmj.b2700
10.1136/bmj.j4008
10.1186/s41073-019-0064-8
10.1111/j.1471-0528.2008.01740.x
10.1186/1477-7827-9-90
10.1186/1477-7827-9-89
10.1080/13543784.2020.1842356
10.1016/S0015-0282(99)00393-3
10.1677/erc.0.0060293
10.1093/humupd/6.5.413
10.1097/00001703-200306000-00006
10.1111/j.0001-6349.2004.00562.x
10.1016/j.jsbmb.2005.04.012
10.1097/01.ogx.0000189153.87365.dc
10.1016/j.fertnstert.2005.09.064
10.2165/00003495-200969080-00001
10.1517/13543784.2011.581226
10.1186/1477-7827-9-87
10.1016/j.fertnstert.2012.08.053
10.1111/nyas.12411
10.2147/IJWH.S34684
10.1016/j.rbmo.2016.03.001
10.5114/pm.2016.58773
10.1007/s40265-018-0928-0
10.1016/S0015-0282(98)00022-3
10.1016/j.fertnstert.2003.11.027
10.1016/S1472-6483(10)61140-6
10.1016/j.fertnstert.2003.09.029
10.1016/j.fertnstert.2005.04.059
10.1016/j.fertnstert.2005.02.018
10.1093/humrep/deh035
10.1016/S0015-0282(97)81391-X
10.1016/j.fertnstert.2008.03.040
10.1016/j.fertnstert.2009.05.071
10.1097/01.AOG.0000265807.19397.6d
10.1001/jama.283.15.2008
10.1007/s00404-010-1599-6
10.1186/1477-7827-9-88
10.1111/j.1479-828X.2007.00722.x
10.1016/j.fertnstert.2006.12.027
10.1093/humrep/dep302
10.1016/j.ejogrb.2009.02.001
10.1016/j.ejogrb.2010.02.023
10.1155/2015/878517
10.1007/s00404-012-2581-2
10.1016/S0140-6736(15)61074-1
10.1093/humrep/dew145
10.1002/jcph.846
10.1080/10717544.2019.1622609
10.1097/AOG.0000000000000964
10.1093/humrep/det457
10.1016/j.ejogrb.2013.11.030",CFH,GENE_MENTIONED_IN_PAPER,downregulated,1.78e-07
