NodeID,Label,Type,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Description
SULT1E1,6783,Gene,9.5e-18,5.16e-22,2.268,-9.6450774,-21.877805,32.914,sulfotransferase family 1E member 1
C7,730,Gene,1.08e-10,1.18e-14,1.045,-7.718597,-8.0644735,7282.962,complement C7
SCN7A,6332,Gene,1.5e-07,2.44e-11,1.309,-6.6769112,-8.7388295,1105.657,sodium voltage-gated channel alpha subunit 7
ADH1B,125,Gene,2.32e-06,5.03e-10,1.052,-6.2181755,-6.5432906,564.368,"alcohol dehydrogenase 1B (class I), beta polypeptide"
CLDN11,5010,Gene,3.86e-06,1.05e-09,1.182,-6.1020712,-7.2135004,461.113,claudin 11
FIBIN,387758,Gene,6.51e-06,2.12e-09,1.361,-5.9882549,-8.1499633,241.231,fin bud initiation factor homolog
KCNT2,343450,Gene,2.4e-05,9.12e-09,1.024,-5.7463301,-5.8827606,501.767,potassium sodium-activated channel subfamily T member 2
INMT,11185,Gene,6.99e-05,3.8e-08,1.26,-5.5000211,-6.9309971,173.023,indolethylamine N-methyltransferase
AOX1,316,Gene,0.000159,9.47e-08,0.976,-5.3365851,-5.2069797,617.836,aldehyde oxidase 1
MYOCD,93649,Gene,0.000193,1.26e-07,0.977,-5.2852087,-5.1649217,509.403,myocardin
CFH,3075,Gene,0.00023,1.78e-07,0.897,-5.2211705,-4.6836265,2448.606,complement factor H
LHX9,56956,Gene,0.00023,1.87e-07,1.886,-5.2116654,-9.8279066,102.344,LIM homeobox 9
GATA4,2626,Gene,0.00023,1.87e-07,1.779,-5.2122336,-9.2706136,265.057,GATA binding protein 4
COL8A1,1295,Gene,0.000249,2.16e-07,1.0,-5.1848288,-5.185461,891.973,collagen type VIII alpha 1 chain
FMO2,2327,Gene,0.000399,3.68e-07,1.258,-5.0845779,-6.3947537,177.681,flavin containing dimethylaniline monoxygenase 2
LOC101928882,101928882,Gene,0.000501,4.9e-07,1.218,-5.0301456,-6.1271381,137.377,uncharacterized LOC101928882
PLA2G2A,5320,Gene,0.000671,6.93e-07,1.5,-4.963435,-7.4471582,192.213,phospholipase A2 group IIA
PLA2G5,5322,Gene,0.00093,1.01e-06,1.937,-4.8896807,-9.4722442,132.896,phospholipase A2 group V
SLC7A14,57709,Gene,0.000962,1.15e-06,1.633,-4.8640955,-7.9413328,111.706,solute carrier family 7 member 14
TCF23,150921,Gene,0.00102,1.34e-06,1.206,-4.8336083,-5.8308765,160.66,transcription factor 23
PTGIS,5740,Gene,0.00102,1.39e-06,1.045,-4.8264077,-5.0425454,1055.469,prostaglandin I2 synthase
MKX,283078,Gene,0.00106,1.5e-06,1.192,-4.8118309,-5.7358326,135.867,mohawk homeobox
MYH11,4629,Gene,0.00126,1.99e-06,1.004,-4.7543884,-4.7726669,7072.039,myosin heavy chain 11
ACSM1,116285,Gene,0.00133,2.16e-06,1.084,-4.7376944,-5.1357789,261.731,acyl-CoA synthetase medium chain family member 1
VIT,5212,Gene,0.00136,2.28e-06,1.672,-4.726656,-7.9046414,69.595,vitrin
HIF3A,64344,Gene,0.00154,2.67e-06,1.107,-4.694361,-5.1959802,121.002,hypoxia inducible factor 3 subunit alpha
LMO3,55885,Gene,0.0019,3.51e-06,1.313,-4.6386346,-6.0906249,137.921,LIM domain only 3
SERPINE2,5270,Gene,0.002,3.8e-06,1.087,-4.6221409,-5.0256787,1286.004,serpin family E member 2
CPXM2,119587,Gene,0.00231,4.6e-06,1.008,-4.5820633,-4.6166167,365.856,"carboxypeptidase X, M14 family member 2"
SFRP2,6423,Gene,0.00299,6.45e-06,1.516,-4.5111096,-6.8389844,212.853,secreted frizzled related protein 2
TBX18,9096,Gene,0.00299,6.49e-06,1.326,-4.5099108,-5.9812922,129.405,T-box transcription factor 18
CNR1,1268,Gene,0.003,6.82e-06,1.335,-4.4991228,-6.0056653,85.727,cannabinoid receptor 1
TCF21,6943,Gene,0.00321,7.48e-06,1.162,-4.4794117,-5.2053232,472.675,transcription factor 21
SIGLEC11,114132,Gene,0.00326,7.95e-06,1.3,-4.4664056,-5.8056319,167.432,sialic acid binding Ig like lectin 11
ARX,170302,Gene,0.00372,9.7e-06,1.722,-4.423805,-7.6157337,82.262,aristaless related homeobox
DLK1,8788,Gene,0.00467,1.32e-05,1.747,-4.3568103,-7.6103973,103.987,delta like non-canonical Notch ligand 1
DES,1674,Gene,0.00562,1.71e-05,1.171,-4.2997295,-5.0343559,604.761,desmin
ARHGAP44-AS1,100128006,Gene,0.00577,1.82e-05,1.345,-4.2862369,-5.7663746,60.536,ARHGAP44 and MYOCD antisense RNA 1
FABP4,2167,Gene,0.007,2.24e-05,1.614,-4.2392627,-6.8439159,50.159,fatty acid binding protein 4
PDE1C,5137,Gene,0.00735,2.39e-05,1.188,-4.2244993,-5.0193179,94.069,phosphodiesterase 1C
SLC7A14-AS1,101928583,Gene,0.00874,2.9e-05,1.975,-4.1814321,-8.2567089,34.436,SLC7A14 antisense RNA 1
STAR,6770,Gene,0.0117,3.93e-05,1.33,-4.1113594,-5.4697246,673.907,steroidogenic acute regulatory protein
NR5A1,2516,Gene,0.0128,4.52e-05,1.984,-4.0791881,-8.0915209,94.82,nuclear receptor subfamily 5 group A member 1
AMHR2,269,Gene,0.0149,5.59e-05,1.99,-4.029516,-8.0205435,29.218,anti-Mullerian hormone receptor type 2
